Mbh,abh,AMexp,Mexp,filename,tff,Md,Mco,Rexp,MHe_form,AMfinal_He_form,R_He_form,Omega_mean_He_form,MHe_dep,AMfinal_He_dep,R_He_dep,Omega_mean_He_dep,Eacc
4.984,0.1517,3.256e+49,4.9842222924689805,0/LOGS/profile72,970.882881860936,1.306e-12,2.970036300074861,1.4008171874779969,4.999525745077429,3.355e+49,1.4534482417649028,0.0002592384670856,4.989662875559128,3.3e+49,1.4534482417649028,0.0002592384670856,2.233e+49
8.938,0.112,7.782e+49,8.938068294867508,2/LOGS/profile35,0.0,0.0,6.534862370835724,1.206268080501829,8.998252161919673,8.284999999999999e+49,1.206268080501829,0.0001812775073258,8.955658023445467,7.956e+49,1.206268080501829,0.0001812775073258,0.0
10.9,0.101,1.038e+50,10.904302719921851,3/LOGS/profile11,0.0,0.0,8.212380410409475,0.8827585633419937,10.996840342638556,1.125e+50,1.01307762135696,0.0001442306293774,10.917030840107495,1.0530000000000001e+50,0.8950315597923721,0.0001442306293774,0.0
12.86,0.09061,1.3e+50,12.86284905683244,4/LOGS/profile15,0.0,0.0,9.931897789369172,0.8473446232505197,12.996818447594464,1.436e+50,1.113581049393665,0.0001239397365217,12.898853194260134,1.3440000000000001e+50,0.997859538499228,0.0001239397365217,0.0
14.82,0.08314,1.574e+50,14.819475378112294,5/LOGS/profile32,0.0,0.0,11.295111634082652,0.9311934793895392,14.995898219566415,1.763e+50,1.2088825978116793,0.0001164032965727,14.852811424321985,1.618e+50,1.075430549770876,0.0001164032965727,0.0
16.8,0.07775,1.897e+50,16.796576059445925,6/LOGS/profile33,0.0,0.0,12.52251579688742,0.9845345258675264,16.99298936866435,2.114e+50,1.2979613623518764,8.91125701149698e-05,16.805016020850616,1.91e+50,1.1999686878069842,8.91125701149698e-05,0.0
18.72,0.07083,2.161e+50,18.71924978664701,7/LOGS/profile2,0.0,0.0,14.310665710727728,0.7055570452586378,18.991076980981436,2.4830000000000003e+50,1.37022537306434,0.0001068393182807,18.76336513180105,2.226e+50,1.2327657975957058,0.0001068393182807,0.0
20.66,0.06751,2.48e+50,20.66079562160242,8/LOGS/profile31,0.0,0.0,15.34392657755656,0.7304018937542489,20.990110579497443,2.8850000000000003e+50,1.4599677632595247,0.0001039171386655,20.706795852084635,2.5520000000000003e+50,1.3018301571432762,0.0001039171386655,0.0
22.6,0.06317,2.79e+50,22.60132873379703,9/LOGS/profile86,0.0,0.0,15.175533314670114,0.8707772062387114,22.99065679296949,3.292e+50,1.531292645039432,9.808244332242738e-05,22.65301351016181,2.874e+50,1.369116242471996,9.808244332242738e-05,0.0
24.54,0.0605,3.144e+50,24.53723292088093,10/LOGS/profile4,0.0,0.0,20.2866031855556,0.8235434223673805,24.988453807279143,3.726e+50,1.6025844546231351,9.373901647413594e-05,24.58761074669316,3.227e+50,1.4351912498912718,9.373901647413594e-05,0.0
26.47,0.05759,3.473e+50,26.47226242784079,11/LOGS/profile43,0.0,0.0,21.502558968452306,0.7727155238090473,26.987107854503545,4.156e+50,1.667056243428818,8.806228908246269e-05,26.529218217472422,3.569e+50,1.504348361705065,8.806228908246269e-05,0.0
28.43,0.05461,3.8070000000000006e+50,28.42582628271153,12/LOGS/profile31,0.0,0.0,20.56418730574578,0.8878590285596979,28.98460245023484,4.552e+50,1.727574523385109,7.884504516263365e-05,28.44789776799612,3.842e+50,1.546682008765791,7.884504516263365e-05,0.0
30.34,0.05159,4.138e+50,30.337195650851893,13/LOGS/profile21,0.0,0.0,25.33067243508254,0.6510370304854884,30.982942277958426,5.035e+50,1.8083795914325007,7.729773555553254e-05,30.38870567060803,4.23e+50,1.621952222883904,7.729773555553254e-05,0.0
32.27,0.04934,4.447e+50,32.26942417750317,14/LOGS/profile66,0.0,0.0,23.49901062033885,1.042028477908154,32.98156354104504,5.451e+50,1.8517983785264227,7.962423190718952e-05,32.294992368548606,4.49e+50,1.6557731374411493,7.962423190718952e-05,0.0
34.19,0.04667,4.756e+50,34.18958285457827,15/LOGS/profile60,0.0,0.0,25.82381214231441,1.0152188399808688,34.97884663675776,5.892e+50,1.912102881513687,6.826530487782223e-05,34.21682328887285,4.802e+50,1.7125180685303012,6.826530487782223e-05,0.0
36.11,0.04526,5.1040000000000005e+50,36.10790721451999,16/LOGS/profile85,0.0,0.0,25.748697893422985,225.41519290103915,36.97373006812415,6.342e+50,225.41519290103915,7.417646897489207e-05,36.13959179462577,5.155e+50,225.41519290103915,7.417646897489207e-05,0.0
38.02,0.04324,5.409e+50,38.01796881780173,17/LOGS/profile33,0.0,0.0,20.43402752770932,4.752094779415005,38.97557997891405,6.808e+50,4.752094779415005,9.420746621143168e-05,38.04999735448821,5.4630000000000005e+50,4.752094779415005,9.420746621143168e-05,0.0
39.92,0.04217,5.812000000000001e+50,39.92299655534798,18/LOGS/profile65,0.0,0.0,18.368140897826127,329.3006934270711,40.97322009075578,7.313e+50,329.3006934270711,0.000103429100701,39.957563450709664,5.8660000000000005e+50,329.3006934270711,0.000103429100701,0.0
41.82,0.03949,6.004e+50,41.82335161327435,19/LOGS/profile92,0.0,0.0,29.879794522674235,1.290026213678389,42.97009836994974,7.776e+50,2.1830826909133934,5.585648763187851e-05,41.894135190422894,6.15e+50,1.963343822282952,5.585648763187851e-05,0.0
43.74,0.03948,6.547e+50,43.73647722398874,20/LOGS/profile51,0.0,0.0,39.16950957891744,1.389493882303817,44.96630340149383,8.247000000000001e+50,2.2012365575329143,5.047297119165288e-06,43.77494051385377,6.602e+50,1.968671079662735,6.873065716131896e-06,0.0
