Mbh,abh,AMexp,Mexp,filename,tff,Md,Mco,Rexp,MHe_form,AMfinal_He_form,R_He_form,Omega_mean_He_form,MHe_dep,AMfinal_He_dep,R_He_dep,Omega_mean_He_dep,Eacc
4.983,0.1515,3.256e+49,4.9842222924689805,0/LOGS/profile72,1314.6581386416406,5.089e-09,2.970036300074861,1.4008171874779969,4.999525745077429,3.355e+49,1.4534482417649028,0.0002592384670856,4.989662875559128,3.3e+49,1.4534482417649028,0.0002592384670856,3.275e+48
6.964,0.1289,5.4e+49,6.964186569083938,1/LOGS/profile12,2998.196016878648,1.576e-12,4.69697945054234,2.713959724132095,6.9989072878347525,5.658e+49,2.713959724132095,0.0002274654116365,6.975744816143836,5.501e+49,2.713959724132095,0.0002274654116365,4.362e+46
8.938,0.112,7.782e+49,8.938068294867508,2/LOGS/profile35,750.1456345178552,0.0,6.534862370835724,1.206268080501829,8.998252161919673,8.284999999999999e+49,1.206268080501829,0.0001812775073258,8.955658023445467,7.956e+49,1.206268080501829,0.0001812775073258,0.0
10.9,0.101,1.038e+50,10.904302719921851,3/LOGS/profile11,444.19369507105534,0.0,8.212380410409475,0.8827585633419937,10.996840342638556,1.125e+50,1.01307762135696,0.0001442306293774,10.917030840107495,1.0530000000000001e+50,0.8950315597923721,0.0001442306293774,0.0
12.86,0.09061,1.3e+50,12.86284905683244,4/LOGS/profile15,384.2823033321248,0.0,9.931897789369172,0.8473446232505197,12.996818447594464,1.436e+50,1.113581049393665,0.0001239397365217,12.898853194260134,1.3440000000000001e+50,0.997859538499228,0.0001239397365217,0.0
14.82,0.08314,1.574e+50,14.819475378112294,5/LOGS/profile32,412.0856808225165,0.0,11.295111634082652,0.9311934793895392,14.995898219566415,1.763e+50,1.2088825978116793,0.0001164032965727,14.852811424321985,1.618e+50,1.075430549770876,0.0001164032965727,0.0
16.8,0.07775,1.897e+50,16.796576059445925,6/LOGS/profile33,421.85618366191,0.0,12.52251579688742,0.9845345258675264,16.99298936866435,2.114e+50,1.2979613623518764,8.91125701149698e-05,16.805016020850616,1.91e+50,1.1999686878069842,8.91125701149698e-05,0.0
18.72,0.07083,2.161e+50,18.71924978664701,7/LOGS/profile2,265.8844645938492,0.0,14.310665710727728,0.7055570452586378,18.991076980981436,2.4830000000000003e+50,1.37022537306434,0.0001068393182807,18.76336513180105,2.226e+50,1.2327657975957058,0.0001068393182807,0.0
20.66,0.06751,2.48e+50,20.66079562160242,8/LOGS/profile31,243.1254572858911,0.0,15.34392657755656,0.7304018937542489,20.990110579497443,2.8850000000000003e+50,1.4599677632595247,0.0001039171386655,20.706795852084635,2.5520000000000003e+50,1.3018301571432762,0.0001039171386655,0.0
22.6,0.06317,2.79e+50,22.60132873379703,9/LOGS/profile86,302.59357908445185,0.0,15.175533314670114,0.8707772062387114,22.99065679296949,3.292e+50,1.531292645039432,9.808244332242738e-05,22.65301351016181,2.874e+50,1.369116242471996,9.808244332242738e-05,0.0
24.54,0.0605,3.144e+50,24.53723292088093,10/LOGS/profile4,265.98122717613995,0.0,20.2866031855556,0.8235434223673805,24.988453807279143,3.726e+50,1.6025844546231351,9.373901647413594e-05,24.58761074669316,3.227e+50,1.4351912498912718,9.373901647413594e-05,0.0
26.47,0.05759,3.473e+50,26.47226242784079,11/LOGS/profile43,232.69754467851945,0.0,21.502558968452306,0.7727155238090473,26.987107854503545,4.156e+50,1.667056243428818,8.806228908246269e-05,26.529218217472422,3.569e+50,1.504348361705065,8.806228908246269e-05,0.0
28.43,0.05461,3.8070000000000006e+50,28.42582628271153,12/LOGS/profile31,276.81996959215724,0.0,20.56418730574578,0.8878590285596979,28.98460245023484,4.552e+50,1.727574523385109,7.884504516263365e-05,28.44789776799612,3.842e+50,1.546682008765791,7.884504516263365e-05,0.0
30.34,0.05159,4.138e+50,30.337195650851893,13/LOGS/profile21,167.25629611758728,0.0,25.33067243508254,0.6510370304854884,30.982942277958426,5.035e+50,1.8083795914325007,7.729773555553254e-05,30.38870567060803,4.23e+50,1.621952222883904,7.729773555553254e-05,0.0
32.27,0.04934,4.447e+50,32.26942417750317,14/LOGS/profile66,386.9787379355123,0.0,23.49901062033885,1.042028477908154,32.98156354104504,5.451e+50,1.8517983785264227,7.962423190718952e-05,32.294992368548606,4.49e+50,1.6557731374411493,7.962423190718952e-05,0.0
